User,Review Year,Ratings,Review
Vikas Sivaravindran,2022,5, Great product ! Worth the price !!
MrEWhite,2020,5, It's a great upgrade over the One X.
Robert Riddle,2022,5, Xbox Series X
Amazon Customer,2021,4," Very good, one problem."
Davids2ndSon,2021,5, Perfect console for gaming and streaming apps.
Marvin Stinson,2021,4, Accurate delivery dates.
David crane,2021,4, Amazing
Rebecca Barner,2022,5, Best thing ever!
Wendy Clemente Griffin,2022,5, Great service
Sophie,2020,5, Good
Jason G,2021,4, Some great next gen features
F0URTYK,2020,5, Does this need a review?
Brian Thompson,2022,5, Love my Xbox
Steve,2020,5, It's Perfect
Whiskeyjd,2022,5, Great Xbox
Jerry McKinniss,2022,5, All around great
Luis Fabian,2022,3, La entrega no se realizó en el tiempo propuesto
Frank Gibson,2022,1, Just Junk
Brandon Dominguez,2020,5, Best Console Ever
james,2021,5, Just buy it if you can
Adam M,2021,5, Awesome System
Rylan Whan,2021,4, Great upgrade from one x
Betulia García Posadas,2022,5, La Calidad de la Construcción es Excelente.
JT,2021,4, On-time. As described.
Sean Brett,2022,5, Pretty expensive but worth it
Elisa Bravo,2020,4, Beautiful Console
J. Sanders,2022,5, Thank You
Yoan,2022,5, Buen envío
Tyrone Perry,2022,5, Awesome
Morgan,2021,5," Yes, you need to upgrade to the Series X"
Anthony,2020,5, Powerful and Quiet Console but don't buy from a scalper just wait
Dennis Rodriguez,2022,5, Powerful Console
Javi1223,2022,5, Best upgrade
Hendrik,2022,5, good product
Colton Aske,2022,5, Xbox series X
Arizona,2022,5, It came a little late but it was worth it.
bill,2023,1," Not Amazon's fault, 5 stars on their part."
Tim,2022,5, Awesome
Maria Gomez,2021,4," The box came a little damage, it was ripped on one of the sides but still good"
Amazon Customer,2020,5, Next Gen is in.
Ameer Alghabra,2020,5, Truly Next Gen
Amazon Customer,2022,5, Awesome!
Kevin S.,2020,5, plenty next gen enough for me
Chelsea,2022,2, Not any better than a regular xbox 1
Travis,2021,5, Worth the wait!
Ritz,2021,5, Received what I ordered.
Sabir Kishore,2021,4, Can't fully handle massive games
Amy W.,2021,5, Happy with my purchase
Nikesh Patel,2021,5, Get's a lot of use with Gamepass.
Katelyn,2021,5, Happy Husband!
darrell,2022,5, Was it worth the wait
Joel Rosario Santana,2022,5, Very good
Fr. J. J. Batcha,2021,4, Disappointed
Ivan,2021,5, Best console around!
Tate,2020,4," Works great, just has a few bugs"
Beard,2020,5, Best Xbox Yet
Jae K.,2021,5, New and as advertised
Jacobo Trogler,2022,5, Xbox Series X
Mann,2021,5, Great Console
Christopher Engler,2021,5, 10/10
Reza,2021,4, Really happy so far
Cyrus S.,2021,5, Fast Shipping/Product as Described
pitchaj,2020,5, Xbox is the best box
Jon,2021,4, No box
William Wittchow,2021,5, Impressive
Jay,2022,5, Awesome
Yamiley M. Azor-Bell,2021,5, Works like a dream
Stefan,2021,5, Best New Console
Matthew Santana,2022,5, Exactly as described
Aleesha Younker,2022,5, Sleek design.
Andrew werner,2021,5, Great performance and amazing loading times
Sean,2020,4, Hardware Upgrade! Worth the $$
Amazon Customer,2022,5, Works great. Amazing graphics.
Daniel,2020,5, performance and style
Ruby Styr,2022,5, What's not to love!
Andrew,2022,5, Best Xbox console ever and it's not even close!
Amazon Customer,2022,5, X box
Amazon Customer,2021,5, Xbox is back
Blake J.,2021,5, Great device for the money
Jim Burwinkel,2021,5, Stunningly fast system
J. Merrill,2020,5, Most Powerful Console Ever is right!!
Kevon,2021,5, Finally snagged one for retail
Mr. Miller,2022,5, Fast and easy. And we got it in less than 24 hours. They tried it off at 5 am.
Andy,2022,5, Excellent Game Play
Lewis O. Paddock,2022,5, Product is like new and fast delivery.
Eduard Diaz,2021,5, Series X: the most powerful console
Mateo Rodríguez,2021,5, What a BEAST!
Keven Sanchez,2022,5, great console for my kids
Brittney C.,2022,5, Xbox Series X Review
Joseph B. Blaye,2021,5, I couldn’t believe the low price
griselda,2021,5, The best
mjanvaz,2023,1," Product was advertised as new, it was not."
Hasbulla,2021,3, Very hard to get one
Devin Nottingham,2021,5, Great Console!
DisneyMom,2021,5, Best console on the market.
James Derry,2021,4," Expensive, but worth it"
KT,2021,5, Makes old games better.
William Broad,2021,4, Item arrived as advertised
Kai,2021,5, Powerful yet compact
Maegan,2021,5, Finally!
Kalev Kask,2021,5, Literally 3 secons for it to turn on and no more waiting for games to load.
Larry,2021,4, Xbox it'll eventually one day get exclusive games?
TheDude,2022,1, I'm really disappointed with this.
Nick,2022,5, not bad
Nate,2020,5," Familiar, yet next-gen."
Kristen Scarbrough,2020,5, Lives up to expectations
Restockplease,2021,5, Great product!
Nick,2022,5, great system
Jeremy Hilley,2021,5, Best system out there!
Dosis-Dei,2021,5, Amazing Next Gen Console
Hui,2022,5, great 4k graphic
Zach,2021,5, Worth the upgrade
Carr,2023,1, Sent used
Mo Doby,2021,4, Meh
Anna Cotellese,2023,1, $600 paper weight
arturo,2021,5, Gamepass Gamepass!!
Ira Hess,2021,4, Great buy for the most part
Boujee B,2020,5," Fast loading times, smooth gameplay, snappy menus make this the best console to date"
Sam Bransten,2021,5, Great gift
Tucker,2021,5, Overpriced but happy
Ira Lichtenstein,2020,5, Must have for Xbox 360 owners and Xbox One owners
Ouija,2020,4, Damaged box
David Cruz,2021,5, Perfection at its finest
DTM,2020,5, Halo Infinite is coming
Douglas,2021,5, An honest 3rd Party
Troy Bryant Jr.,2021,5, Awesome
Linh N.,2020,5," Great system, bad shipping and handling"
Lee,2020,5, Worth every penny and more
nina thomas,2022,2," Not complete and box was tore the ""f"" up."
Scott Kinross,2021,5, Love my series x
lucas,2021,5, Beautiful
Amazon Customer,2020,5, Amazing system
Michael Montanez,2020,5, This thing is powerful!!!!!
Wendy luna,2022,5, Perfect
Amazon Customer,2021,5," Very satisfied with my purchase. Thank you! This was a little pricey, but great investment."
Drfemi365,2022,5, Great aruff
Son of DeBeech,2022,5, Outstanding
Dustin,2021,5, Works well
kelly merlino,2021,5, Great better than ps5
James Cevallos,2021,5, Great console
Vanessa,2021,5, Just got lucky
Bradley Ham,2020,5, Apex Legends looks AMAZING!!!
Txou,2021,5, Great Console!
KZ,2021,5, Great product at a great price!
Betty Fulmore-Thomas,2021,5, Christmas in July
David,2020,4, Decent so far
Ethan,2021,5, AMAZING CONSOLE
Fernando Soto,2022,5, Aweb 100% recomendado
Orochi,2020,5, Ek Bok
Max,2021,4," Great picture and power, but has connectivity issues."
Kristin N,2021,5, Awesome
Sammi,2021,5, Expensive but good buy
Taylor Kornberg,2020,3," New console, doesn’t feel next gen"
BSmooth40,2021,5, 5 Months In And Love It
Jesse,2021,5, Works Great
Marco P.,2021,5, Finally
Mohammed,2021,5, Amazing
Konrad Patrzalek,2021,4, Runs games like a beast cept some
kaleikekoa,2021,5, Great system!
Megann Santucci,2022,5, No Regrets
Carlon Haughton,2022,5, A1
3DTech,2021,5, Xbox Series X is just fast
Phillip M. Yates,2021,5, It will make you redownload all compatible x/s games
Luis Zerpa,2022,5, The Best console of this generation
Amazon Customer,2021,5, Old but new.
Anm8ed,2020,5, Loading times really fast which is really good.
Kyle B,2020,5, 5 out of 5
Mitchel P. Greene,2021,5, As advertised.
Amazon Customer,2021,5, Great Service
Matthew Franks,2020,5, Truly next gen!!!
Carlos L,2021,5, Impressive Box!
Jennelle Yan,2021,5, XBOX
Thodd spencer,2021,5, Love it
Scott,2021,5, Works great!
Rashid Sharif,2021,5, Goods well received
Tobey Cline,2021,5, Sorry for you!
Timothy Morrow,2021,5, Pretty good next Gen console
S.,2021,5, Entertainment at it’s best!!
Andrew James Medanich,2020,5, A literal game changer
Shannon Michaels,2021,5, Very happy boyfriend
Eli Brogden,2021,5, Next Gen Gaming
Joseph Alteri,2021,5, Best Console Ever!
Dusty,2020,5, Recommend
Ryan S. Wheeling,2021,5, It is a Xbox Series X
Alex Avila,2021,5, Amazing
Scott Holm,2020,5, Great next step!
Virginia,2021,5, Good
Ashkenaz,2022,1, Broken sold as brand new.
Megan Lewis,2021,5, Happy honey
J. Hillman,2023,1," After waiting months for the game, it didn't work. Now I can' otrder a second game"
Ryan Stowers,2021,5, Great product
H Gi,2021,5, My son loves it!
Dababy,2022,2, Lags out of online games
EdEddandEdge,2020,5," Worth every penny, next generation is here"
Sarah E,2021,5, I love it
Jonathan Garcia,2021,5, No issues at all.
Mario,2020,3, Got a dud
Giorgio Arriaga,2021,5, Glad I have it!
Rob R.,2020,5, Worth it!
Amazon Customer,2021,5, Amazing
Spartancollector,2020,5, Xbox Series X is FAST!
Sheldon mayer,2021,5, My Xbox only worked one time then stopped working
El chipi,2021,5, Fast delivery!!!
Miguel Victor Jr,2021,5, great buy
Laura,2021,5, “Most shocking Fathers Day gift ever!!!”
Alexander Lewis,2021,5, Nice xbox
Hugh,2020,5, Xbox at its best.
Jenneth,2021,5, Super Fast Console
Maxwell Maher,2021,5, BUSSIN
Donavan,2020,5, Amazon and Microsoft efforts in trying to fulfill everyone's orders
Brian,2021,5, Great if you have the right TV
bleeder,2022,2, false advertising
Amazon Customer,2021,5, Very satisfied
Jessica,2021,5, 5 star
Tiance,2021,4, Buy it
Amazon Customer,2020,5, Updated xbox one x pretty much
Jack,2022,2, It worked for about 4 months before it stopped working
Pablo D Rivera Torres,2021,5, Awesome
Brad Mills,2020,5, Incredible graphics and speed.
Booky Djumanov,2021,5, Extremely Well-built
Adrian P.,2020,5, Love it. Better than ps5
Enrique Solis,2020,5, Sorprende cuan silenciosa y rápida es
Matthew Randall,2021,5, Great purchase. Worth the wait
Dave,2021,5, Graphics are amazing in 4K
Andrea Berkowitz,2020,5, Came Just in time for the holidays
Cowboy Curtis,2021,5, Thanks Amazon!
Lou,2021,5, I found ine
RM60,2020,5, Most powerful system on the planet!
Nataly,2021,5, Best console ever!
A.M.,2020,5, Huge upgrade
Karen,2020,5, Worth the wait!
El Jefe,2021,5, Great console
Joe,2022,1, Xbox continues to crash
Bradley Bolster,2021,5, Great all around
Eddie Kim,2020,4," very powerful console, but lacks games for now"
Erik Melkic,2021,5," No scam, 100% real"
Tito A.,2021,5, Best console in the market.
Paolo Ortiz de Zevallos,2021,5, Nice console
Sara B,2021,5, perfect
Ryan Gartenmayer,2021,5, Came quick and protected
Amazon Customer,2021,5," every penny, worth it. #entertainment"
Scott,2021,5, Worth the hassle and wait!
Nic,2020,5, Glad I Got Through!
Devan,2020,5, Next Gen
Amazon Customer,2020,5, Next gen is here!
Josh,2021,5, Excellent
Josephine Wheatley,2021,5, Very good
Nalin Kaushik,2021,5, Perfect
Liz,2021,5, Lightning fast
Gracie Sheen,2021,5, SCAVENGERS
GreatSauron,2021,5, Smooth AF
Scott Kirkland,2021,5, Fast and huge
Manuel graham,2021,5, COOLLLLL
Andrew Dawson,2021,5, I'll always be an Xbox fan
Shannon,2021,5, Came Earlier than expected
Amazon Customer,2021,5, shipping time
Lino Navarro,2021,4, Shipping
Ashley,2021,5, Next Gen 5 Star
Ashton,2021,5, Aside from price hikes great console
Josh,2021,5, Amazing system
Robert Gering,2021,3, I got one! Sadly it was defective.
Malik Griffis,2021,5, Speedy delivery
Francisco M.,2021,5, Amazing and super fast shipping
Bookzy Djumanov,2021,5, Amazing
Joe green,2021,5, The delivery came earlier than expected
Ice,2022,1, Defective Blu-Ray Player. Audio and Video Loss.
SaJu,2021,5, Best Console Yet
kindlefirelover,2020,4, Power cord not fitting!
Elvis Velez,2021,5, Xbox series X is all that and a bag of chips
Chad Speer,2021,5, Xbox Series X is a force to be reckoned with
Pengcheng Shi,2021,5, Perfect!
JPR,2020,5, Buy it as soon as you can!
LB Moreno,2020,5, A life saver for a birthday gift
Amazon Customer,2020,5, Next gen perfect!
Joshua P. Griffin,2021,5, This thing is FAST
Matthew,2020,5, Fantastic console
Ashley,2021,5, Amazing system
heguancheng,2021,5, good
BrettP,2020,5, Great console
Sawyer Halbritter,2021,5, Absolutely in love
Kyle Richards,2021,5, Amazing honestly
Visionary Courses,2021,4, Great system halo should’ve came out with it though
Ryan,2020,5, This thing is nuts
Ryan,2020,5, My Xbox arrived on time and I love it.
Tony F.,2021,5, It’s cool.
Amber Davis,2021,5, Hubby is loving his new xbox
Vibhav Salgaonkar,2020,5, Wohoo!!!
Brah Dude,2020,5, Best console ever!
Mya,2021,5, Its beautiful
Josh,2021,5, Arrived safe
Joe shmoe,2021,5, Great for games and movies.
SUnny,2021,5, Perfect
300,2021,5, That's a masterpiece
tequila,2020,5," price I paid was way high, but everything was sold out on first day of release"
Scott,2020,5, It’s here !
bw,2020,5," Fast, quiet, fun! XBOX X is a powerhouse!"
Ben,2020,5, Very Nicee
Zachery T Jackson,2021,5, Pleased...
Iamad Hamad,2020,3," Very fast, doesn't feel next gen"
Kmak,2021,5, A gamer's paradise.
Escoboy17's newphew,2021,5," Awesome console, worth it for $500!"
Nathanael Petker,2021,3, Arrived used
Salman Ahmad,2021,5, Amazing console
Cesar B,2020,5, Powerful
Peter,2021,5, Thank you Amazon!
Dukes,2020,5, Worth every penny
Ruben Estrada,2021,5, Very happy
Jupiterjewelryco,2020,5, Series X
Joseph G. Hynes,2021,5, What I Ordered. On Time. Enough Said.
MikeyintheD,2020,5, Exceptional
franky j caba,2020,5, PERFECT.
Cera Albu,2020,5, Great purchase
Clyde E.,2021,5, yes
Ina Francis,2021,5, looking zorcurrent books
Jeremy,2021,5, Fast!!!
BrownBunch,2021,5, DayOne!!!
Casey,2021,3, Super heater
Michael Joseph Radel,2020,5, Incredible!
Patti,2021,5, Legit. Xbox works great.
Abraham Martinez,2020,5," Works Faster that Xbox One, Great Quality - So far very happy"
Kim R.,2021,5, Happy with purchase!
Guy,2020,5, 4th Generation = Best Generation
Marcos Silva,2023,1, Stopped working after while - DO NOT BUY
james,2020,3, Crashes when Playing
Robert T.,2020,5, 9th gen. Is here.
Robert,2021,5, Great
Bekzod Djumanov,2021,5, Enjoyable
LosJetssssss,2021,5, Gamer
Jep Bozzo,2021,5, Great console!
Jimbo,2021,5, : )
Dana Wood,2021,5, Kids love it
KJ,2020,5, Amazing!!!
CAL,2020,5, Awesome
Anonymous,2020,5, Best Xbox made
shelon,2021,5, Great buy Xbox future is bright
JBH,2020,5, Worth 500 dollars.
Spencer McAvoy,2020,5, Series x review
Andrea L,2020,5, Great Console!
Omar,2021,5," Came brand new, awesome im satisfied 💯"
Amber,2020,5, Amazing
Ryan Michaud,2020,5, Xbox series x
Amazon Customer,2021,5," Awesome, very fast !"
Miguel,2021,5, It is my favorite!
Michael,2020,5, Best Xbox console
Jay,2021,5, Xbox Series X
Melissa B.,2021,5, Xbox series x
Yvette,2021,5, X box x
Terracon,2021,5, Worth the hassle
James A. Beatty,2021,5, Pure awesome sauce!
Klar,2021,5, Couldn’t get my hands on one so here I am
Jomario D.,2021,5, Powerful Machine!
Mrs. Harris,2021,5, Xbox Series X
Dakotah Cote,2021,5, Pure Extasy
Kyle,2021,5, Quite
Jorge,2020,5, NEXT GEN IS HERE
Amazon Customer,2021,5, 😊😊😊
gregory lee,2021,3, Solid console
Reginald Rideaux,2021,5, Perfect Xbox Series S
jayz,2021,5, Arrived on time
Haley,2020,5, Love!
Matewos Kesete Aradom,2021,5, Excellent delivery with care no problems at all
Christopher Johnson,2021,5, As advertised
Stephanie Robbins,2021,5, Xbox
Tommy,2021,5, works great
Randy Sanchez,2021,5, System is a beast
pablo rivera,2021,4, Product arrived as descripted And it is working fine
G.L.G,2021,5, Like it
Juan Ortiz,2020,5, Great Machine Not a Lot of Games
Amazon Customer,2021,5, Excelente calidad
Bruce,2021,4, Pricey but great
Cameron,2022,1, Big Disappointment
Klint neilson,2020,5, We have arrived at next gen peasants.
Benjamin Marquina,2021,5, No greater power than X
Nathaen,2021,5, Next gen Xbox
giovanni,2020,5, Amazing so happy with it
Klubby,2020,5, Amazing! If you can get one.
Sean,2020,5, Power your dreams!
Destiny martinez,2020,3, ...
Hezekiah Taylor,2020,5, Freaking Awesome!
justinfi,2021,5, No regrets
tim,2021,5, Amazing
Austin gardner,2021,4, Excellent next gen console.
Amazon Customer,2020,5, Series x is the future!
Brandon Oravec,2020,5, Load times are insanely fast
Justin Vest,2023,1," Unplayable, turns itself off when playing any game"
ADS First,2021,5, Love it
LaRoyce,2021,5, Xbox
Boone,2021,5, Series X for the Win
John B.,2021,5, Awesome!
Low-key Nerd,2020,5, AWESOME!
Robert,2021,5, Worth the Hype
Ricanlegend,2021,5, Amazing
Johnathan f.hawkins,2021,5, Awesome.
Anthony L.,2021,5, Best next gen console
Kimberly,2021,5, Great buy!
John,2021,5, Perfect
Lmb0917,2021,5, Great console
Mary P.,2021,5, Met expectations!
Donovan,2021,5, Best console
frankcoppolino,2020,5, I love playstation but this xbox series x works great
Nolan J.,2020,3, Why
Youngwildnfree,2021,5, Awesome
Yu Ling,2021,5, Great performance!
Jeffrey Lillard,2021,5, Very satisfied
Kenneth W. Anderson,2021,5, Get it if you can.
Amazon Customer,2021,5, Well packaged
Mitch,2021,5, Xbox Series X product works upon delivery
Mark B,2020,5, Perfect 5 out of 7
LeahMarie1995,2021,5, I am now superior to all girlfriends who have come before or will come after.
Ben M,2021,5, It does what it’s supposed to do
Fer Matz,2021,5, XBOX is king!
Alan,2021,5, Fantastic
kb,2021,5, Awesome console once you get your hands on one
Martinez,2021,5, XBOX SERIES X
Chukwudubem Onwualu,2021,5, Worth the upgrade if you have the right TV
Amazon Customer,2021,5, Love it!
Chandler Carlson,2021,5, Love it
AR.GEN1,2021,5, Highly satisfied!
Victor A. Guevara Jr.,2021,5, Great picture
James J Topping,2020,5, Perfection
Serena Moffitt,2021,5, Amazing
Towanda,2021,5, Good next gen system
Jeff S.,2021,5, I Love the Xbox Series X!
Juan,2020,5, Operates really smooth with beautiful graphics!
Jared R Mack,2020,5," Delivered release day, no complaints"
John Tianen,2021,5, Arrived Fast and was what was advertised !!!
Ulysses Mendez,2021,5, Awesome Console
pitch00,2021,5, Excellent
Kylar Stern,2021,5, Great experience!
Amazon Customer,2021,5, Perfect
CRob,2020,5, Best console on the market
Anthony Wu,2020,5, Love it!
Kevin,2021,5, Worth every penny
Rafael,2021,5, Love this console!!
raymond johnson,2020,5, Game pass is a game changer
Jim,2021,5, Great console
Andrew Wilson,2021,3," Great performance, poor game selection"
Jo,2023,2, Factory seal was broken.
J. Cornish,2020,5, Massive improvment.
BEN,2021,5, Love it!
Mauricio Chivara,2020,5, Amazing console
Brian A Offord,2020,5, Totally worth it
Lacey Huckabee,2021,5, Oh yeah
Nona Stahlnecker,2021,5, Was a little bit overpriced
John P,2021,5, Yep it’s legit
Brandon Bluhm,2021,5, It's a good time
Amazon Customer,2020,5, Best gaming console ever!
Monica R,2021,5, Great
Onyx Wolf,2021,5, Nice
Kyle Rahmoni,2021,3, Okay gaming console
Chris Rodriguez,2020,5, Best most powerful console
Bruh,2021,5, Looks awesome.
Tom R,2021,5, It’s a series X. It’s awesome.
Amazon Customer,2021,5, Good upgrade
Adam R.,2021,5, Back into gaming
Jeff Ortman,2021,5, Very helpful
Mo,2021,5, Brand new and for a steal!
Amazon Customer,2021,5, Amazing!!
Keeyan,2020,5, The Beast.
manuel duval,2020,5, Received it on time
Chao,2021,5, amazing game console
Christina,2021,5, The Prettiest Brick
Nicholas Davila,2020,5, Must Buy
Joseph Grzyb,2020,5, Hard to get haha
John K Best,2021,5, Love it
pilar herrera,2021,3, But this as a birthday gift
TC,2021,5, awesome system
Javier Rubio,2021,5, Restocks
C. Iaciofoli,2021,5, Amazing
Joseph Ledford,2020,5, X Gonna Give It To Ya
Paul,2020,5, Best Xbox Yet
Josue,2020,5, Excited!
Tomeeka barnett,2020,5, Got on time
tony hensley,2021,5, It’s an Xbox
Kwame Sanders,2022,1, Buyer Beware
Abdullah,2021,5, Great console
B,2021,5, Xbox series X
Xander,2020,5, Quiet af
slam sauce,2020,5, Nice responsive system
Kris W,2020,1, Don't buy digital games. Not possible for kids to play while I am.
Amazon Customer,2021,5, Worth any price
Amazon Customer,2021,5, Review
David R,2021,2, Don't waste your time and money
Austin B,2020,5, Amazing upgrade
Raphael Tineo,2021,5, Great system
Henric Nilsson,2021,5, Xbox x
Farrid McGhee,2020,5, Great new console
Jake P.,2021,5, Great nexgen
Dennys G.,2020,5, Profitssss!!!
Jeffery,2021,5, Best Value
Kevin Lara,2021,5, Helpful
Brandon,2021,3, Product opened previously.
Tony Tran,2021,5, This xbox is amazing
Chesss,2021,5, love it
John,2020,5, The future is here!!
Oscar Ramirez,2020,4, Good controller is letdown.
Earnestine Pitchford,2021,5, happy
John Smaldone,2021,5, Great!
Joel Guzmán C,2020,5, Works perfect
YEEZY,2021,5, Black diamond.
David,2021,5, Its really great
Anthony Mendoza,2021,5, XSX REVIEW
Evelyn,2021,5, Better than expected
Calvin S,2021,5, Brand New!
Tamisah Baskerville,2021,5, Very good shipping
Fernando,2021,5, Best console you can get.
David M. Nadeau,2021,5," Finally got one, and didn’t line the pockets of a scalper to do it."
Ryan,2021,5, Might be a delay but it’s expected
Leonel,2020,5, Buy It
Gregory Engle,2020,5, A Game Changer...
Zachary Pridy,2020,5," Reliable tracking, Everything was included, very small packaging too"
Amazon Customer,2021,5, Load speed
Dave,2020,5, I got one and you didn’t!
Cameron,2021,5, Yes
MATTHEW WARREN,2020,5, Xbox Series X #1!
David,2021,5, Believe the hype
baddog,2021,5, Love the Xbox series X I paid a little bit more than I wanted to use for a bath in the end I’m happy
Demetrius,2020,5, What More Can You Ask For!
Zack,2021,5, An excellent console
Cherie Henry,2021,5, Awesome
Bon Baca,2021,5, Perfection
Ryan Costa,2020,3, Same as the Xbox one
Jared,2020,5, Its Great
CF,2020,5," Amazing. Fast, Powerful, Lots of games."
ERIC,2020,5, Amazing Console
james banks,2021,5, Great
Bandana,2021,5, Smooth & Fast
Dylan nickerson,2020,5, Amazing!
Silent Avenger,2022,1, Crashed and died on the first day----JUNK
Ahmad Jones,2020,5, Amazing
Ismael Cantu-Garcia,2021,5, Faster than ps5
Mo,2021,5, Great product!
Dani,2021,5, Got here fast
Trent Weaver,2021,5, Shipping box wasn’t great. Thought it may be damaged.
Amazon Customer,2020,5, Best console ever
BiologicalBill,2021,5, Finally
Adrian Hernandez,2021,5, Xbox
Leslie,2021,5, Xbox series x
Jonathan Bonilla,2021,5, Nice game
Miguel,2021,4, Awesome!
Amazon Customer,2021,5, Worth the wait
Rain. T,2020,5, Awesome!
Lesley Chapa,2020,5, Beautiful
Andrew Martinez,2020,5, Neat
Chase Sharp,2021,5, Easy to get unlike its counterpart.
Chris Aguilera,2021,5, Best console on the market!
Honeydew,2021,5, Great Xbox Series X
Mr.cool,2021,3, Mad
Amazon Customer,2020,5, Auto HDR is great!
Quan,2021,5, amazing console
Alex,2020,5, Best console yet
Jarred,2020,5, Great machine
MICHAEL J.,2022,1, Boat Anchor
Amazon Customer,2020,5, Love it
Ced Harris,2020,5, Happy!
Kevin Caballero,2020,5, Awesome
Melinda Smith,2020,5, Works great!!!!
Dillon H.,2021,5, Perfect
J.D,2021,5, Beast of a gaming device.
Josue,2020,5, Shout out amazon
Mike,2021,5, *Chefs kiss*
brittany,2021,3, Xbox controller has issues
Corey,2020,5, Statistifed!
Austin,2020,5, Fast and powerful
Carlos Rodriguez,2021,5, Love it
Larry,2021,5, New generation
Amazon Customer,2020,5, FINALLY!
Clifford,2021,5, Xbox
Jeremy yacovone,2021,5, Easy to use
Amazon Customer,2020,5, Xbox better
Darrius Moody,2021,5, Godzilla baby
Justin Kraling,2020,5, Well worth the money
Mr. Smith,2023,1, DEAD xboxX after 6-7 months.
Nelson Beato Peralta,2021,5, Awesome
Ryan,2020,5, Excellent system.
Lori Gilligan,2021,5, Great game
Chris,2021,5, Awesome
Hailee Nicole Austin,2020,5, Xbox
Amazon Customer,2022,1, A breathtaking combination of arrogance and corporate evil
Trevon Nelson,2020,5, Really is the world’s most powerful console
April De La Torre,2022,1, Power Issues
Robert,2020,5, Yes
Claudio Bonomo,2023,1, Product broken
Slowwpo,2020,5, Met expectations
vasek povala,2020,5, Xbox series x
Roger,2020,5, Fast shipment
Diana,2020,5, Perfect gift
Ty Bordok,2020,5, Great
Gabe,2022,1, 12 month installment option doesn’t work
michael aguirre,2020,5, Rich
Amazon Customer,2020,5, great product
Kelleen DeBoni,2020,5, It’s better
Amisadai Lopez,2020,5, Sexy
Jack,2021,5, Great system!
Omar Ortiz,2021,5, New gen console
Fred Roach,2020,5, Awesome
Yc wang,2021,5, Nice console
Bryan Gonzalez,2020,5, Xbox
Mike,2020,5, A+++
B. brown,2020,5, Best system ever
Adam Macqueen,2021,2, Xbox series X experience could’ve been better
robert flores,2021,5, good
deandre wood,2020,5, Love it
Héctor M.López,2020,5, A+
RTM,2020,5, Beastly
Jeffery Epstein,2020,5, This is pretty Swick
Navy Ninja 089,2020,5, The best!
Ken Masters,2020,5, Xbox
Fatsby473,2023,1, Defective product don’t buy from these guys
TYLER CORNELIUS,2020,5, Great
Gavin B.,2021,3, Too hard to get
Beau,2020,5, Just what I expected
Marcus Morgan,2021,5, Good
Anon,2020,5, Next Gen is here
S. C PIRES,2023,5, Best Xbox Console
joseph,2020,5, Best console
Andrew,2020,5, Xbox series X
Ryan,2020,5, It’s pretty cool
One Above,2020,5, Most powerful console
Justin Jacobs,2021,3, Still Glitchy
Revan_Deschain,2020,1," Stuck at 640x480 resolution, tried everything - no solutions work"
Stacy D,2020,5, Great Product
Alexis Martinez,2020,5, Quick
John Holmes,2021,3, PS5 is Better
vefe75,2020,5, Great buy
Count Chocula,2020,5, First!
Linsey Payne,2020,5, Why wouldn't u buy this lol
John,2020,5, 👍🏼
Malinda,2022,1, Didn’t work and have not been refunded
Milton Minero,2023,1, Me lo vendieron defectuoso
Shawn Pruitt,2022,2, started having overheating issues and would shut down not worth the price
Win Hill,2022,2, Ok product
Scooby Dooby Doo,2021,1, Most expensive brick
Arkema Jenkins-Boyd,2022,1, Xbox X series (new)
Adam Black,2023,5, Best Console on the market
Aleenat,2020,2, Not much to do
regina,2023,1, The disk doesn't work
David Jackson,2022,1, Can't swap lt and rt with lb and rb. Ps5 can
Cory,2022,4, The best game changer
David,2023,1, HDMI port lasted less than 3 months
Tom,2020,1, Very disappointed. Major issues causing some games to be unplayable. Stutters and shuts down
Colton,2021,2, Only do this if you're desperate
John Smith,2020,1," DOA, terrible customer service. I should have bought a PS5"
Zachery Simmons,2022,1, Terrible
Erica Perkins,2021,3, Its ok
Christopher Heard,2022,1, All I can say is...sucked.
Amazon Customer,2021,2, Great powerful system
Vince Lee,2021,3, Great Product
SPG93,2023,1, Not working
jeff,2022,1, Backwards compatabilty
Henry,2020,1, Dead after 6 hours of use
james landess,2020,2, From Xbox One to next gen?
Irving Orozco,2020,1, Sad
Ashley,2021,1, Didn’t work after 1st start up
Si,2022,1, Time to buy a PS5
Shawn P Vigneri,2020,1, Launch day console = expensive brick
Jack M. Stephens,2023,1, Box damaged
April,2023,5, hi
Allen D Jr.,2022,1, This is a rippoff
Sarah-Hayley Owen,2022,1," Defective. Wasn't offered an exchange, only a return."
Amazon Customer,2020,1, Stopped working less than 4hrs after got it.
Tyrone Hester,2022,2, Got the product but.......
Kidney4Canyon,2023,5, Finally!
Chase,2022,1, Hardly works
Mike,2023,5, Most Amazing XBOX Ever
Betty,2022,1, After 7 months of owning Xbox series X
E. Shields,2023,5, Nothing Short of Amazing
Vik,2020,2, Save your Money!
Carl Mortensen,2023,1, Garbage
Bill Payer,2022,1, Great but not new
Thomas Jermaine Darby jr,2023,5, Great Console
Ryan,2021,1, Power supply issues - Xbox dead out of the box
tj_M,2022,4," A Story, Rant and Review of an Old Person"
leb199,2021,2, Not new
Guy,2022,5, Great nextgen gaming
PATRICK,2021,1, Recieved used with missing parts
Talk Development,2022,1, Not working after a year and a half
